Name,Season,Team,ip,era,fip,war,split,xra9_lin,xra9_rf,xra9_xgb,xWAR_lin,xWAR_rf,xWAR_xgb
José Berríos,2021,2 Tms,192.0,3.52,3.47,4.0,test,3.7261164305800607,3.9331168683766733,3.8168776,3.3048888541914603,2.9218105104961722,3.0900156283630027
Yu Darvish,2021,SDP,166.1,4.22,3.9,2.8,train,3.4847609631872496,4.101320648564242,4.2580757,3.2668009190574585,2.2789690184321922,2.126036126914543
Kyle Gibson,2021,2 Tms,177.2,3.5,3.78,3.2,train,3.6638143042548883,3.5471257874097613,3.5002694,3.1624190044722456,3.305442624875088,3.270705751568689
Dylan Cease,2021,CHW,165.2,3.91,3.41,4.5,train,3.5402601230551047,3.756017417432488,3.8990707,3.1558519085319143,2.774409942329509,2.557321914619375
Luis Castillo,2021,CIN,187.2,3.98,3.75,3.9,test,3.772160476714973,4.043763790143094,4.0053396,3.1346023113203194,2.664383436881689,2.7493552547712032
Anthony DeSclafani,2021,SFG,167.2,3.17,3.62,3.0,test,3.5984217130951954,3.530314620905432,3.4868076,3.0951538382331525,3.143926366381527,3.10293384577862
Tyler Mahle,2021,CIN,180.0,3.75,3.8,3.9,test,3.7449006274490824,3.871765712455442,3.8393033,3.063945160701908,2.837500665585739,2.866751256538903
Eduardo Rodriguez,2021,BOS,156.2,4.77,3.34,3.9,train,3.525680083154646,4.151178585630804,4.426886,3.0070853163740012,2.073811691041608,1.8024473138594401
Clayton Kershaw,2021,LAD,121.2,3.55,3.0,3.4,train,3.067666100870781,3.479590309732867,3.4719763,2.8978618319394767,2.333696291719184,2.2626768628139264
Jordan Montgomery,2021,NYY,157.1,3.83,3.69,3.2,train,3.7196214209457024,3.858161323595882,3.8230479,2.7145341154286315,2.4955326765733976,2.521103503871478
Sean Manaea,2021,OAK,179.1,3.91,3.66,3.3,train,3.9453794515071463,4.001778327045116,3.9903493,2.683444880856365,2.6160347977128997,2.6504379181496174
Chris Flexen,2021,SEA,179.2,3.61,3.89,3.0,train,3.958140138931012,3.7100976840976827,3.716743,2.6616860714594095,3.0827798723874897,3.0179898954443956
Shohei Ohtani,2021,LAA,130.1,3.18,3.52,3.0,test,3.446983010897629,3.738003613878518,3.664049,2.608751848926747,2.2057937851291167,2.2422590170923917
Luis Garcia,2021,HOU,149.1,3.56,3.62,3.0,train,3.711527513333829,3.6481668527240347,3.5975146,2.5885757628567787,2.647166471155692,2.6437890558223494
Marcus Stroman,2021,NYM,179.0,3.02,3.49,3.5,test,4.031575310948313,3.4116632243798106,3.4797163,2.5250248931828776,3.5548659571684813,3.3313980124811375
